0.0 sh0:0.2788580668341401  sh1:0.6526943874901034  sh2:0.029906760460613076  sh3:0.8033047203047708  sh4:0.1260015873742928  sh5:0.07917735795785587  sh6:0.05346720753242557  sh7:0.48161277061979646  sh8:0.1308761562825272  sh9:0.606503030344101  sh10:0.08990770043804099  sh11:0.19309733885742228  sh12:0.5204706033883848  sh13:0.6523471509863273  sh14:0.4775628316198549  sh15:0.135079510585657  sh16:0.7915645353476266  sh17:0.2943400588349887  sh18:0.44230326809516596  sh19:0.25319481837192664  sh20:0.6292710810096456  sh21:0.018203199935849273  sh22:0.11527822862304539  sh23:0.052289342478459074  sh24:1.0  sh25:0.4846187249031028  sh26:0.41536422825461167  sh27:0.4303022478902006  sh28:1.0  sh29:0.6273282372621007  sh30:0.3863198919657622  sh31:0.8934381882354689  sh32:0.2639314147215985  sh33:0.09131459804950669  sh34:0.24307203653841097  sh35:0.7895519139691023  sh36:0.4838741562641986  sh37:0.8673216767624262  sh38:0.8508397282507394  sh39:0.42379097244330244  sh40:0.3855254441005729  sh41:0.42826124197967036  sh42:0.2151964774954214  sh43:1.0  sh44:0.3762223308639903  sh45:0.4845303542201603  sh46:0.03352021142653875  sh47:0.013254012055425578  sh48:0.13313039971204202  sh49:0.288770428682039  sh50:0.2664539662821839  sh51:0.08379017244427274  sh52:0.7092560841365922  sh53:0.07984496053603124  sh54:0.8751438128720674  sh55:0.2518132999992267  sh56:1.0  sh57:0.4506461275970046  sh58:0.14100441029612482  sh59:0.016294922475352643  sh60:0.39819705624264845  sh61:0.20843259190521157  sh62:0.5121797535571476  sh63:1.0  sh64:1.0  sh65:0.12383726329202364  sh66:0.4574867233183864  sh67:0.30010339751924014  sh68:0.7872562691531645  sh69:0.23538941827680018  sh70:0.3678319186020461  sh71:0.11961821182816289  sh72:1.0  sh73:0.8274240044614403  sh74:0.6322636966718035  sh75:0.9939229067671037  sh76:0.2628754108993741  sh77:0.4732378511194793  sh78:0.5728557104552838  sh79:0.4360313179676213  sh80:0.5203843157364175  
0.0 sh0:0.3500004463494193  sh1:0.0  sh2:0.36208382041618986  sh3:0.8199400998256253  sh4:0.9751154083029382  sh5:0.06902312008172208  sh6:0.7800563513724652  sh7:0.10730496915719215  sh8:0.7324878318286614  sh9:1.0  sh10:0.02130304299558736  sh11:1.0  sh12:0.3383161918688778  sh13:0.8023531106507907  sh14:0.9664840960432527  sh15:0.6703022488297439  sh16:0.896965944909321  sh17:0.26697849523006634  sh18:0.039731710603610755  sh19:1.0  sh20:0.29118543607314884  sh21:1.0  sh22:0.0482066632465283  sh23:0.4092505478604304  sh24:0.588368111410424  sh25:0.6484711788361613  sh26:0.8875678240205954  sh27:0.10468641285366673  sh28:0.6194153687100091  sh29:0.8925419712776836  sh30:0.8624991283129544  sh31:0.12616515312230095  sh32:1.0  sh33:0.8626163811764341  sh34:0.6123075047784048  sh35:0.5207035537624062  sh36:0.5365688443387351  sh37:0.7121988721512758  sh38:0.6395169144264923  sh39:1.0  sh40:0.12656251281034891  sh41:0.32714108927493146  sh42:0.5856475858481498  sh43:0.24703142058049177  sh44:1.0  sh45:0.28008779120435295  sh46:1.0  sh47:1.0  sh48:0.6700993080632057  sh49:0.7642584029942745  sh50:0.3484342333796933  sh51:0.7934484508561852  sh52:0.1326254185905563  sh53:0.6114666160101089  sh54:0.0863253630905513  sh55:0.146632014775426  sh56:0.49517926919813243  sh57:0.36356648347206394  sh58:1.0  sh59:1.0  sh60:0.908914273486696  sh61:0.0  sh62:0.7292602824539735  sh63:0.11816659757408102  sh64:0.9033886002090772  sh65:0.7998819188898801  sh66:1.0  sh67:1.0  sh68:0.5317910264730105  sh69:0.2927880504708881  sh70:0.2740305926378272  sh71:0.25440386886651006  sh72:0.3228530619023877  sh73:0.34154689731950033  sh74:0.4632521154320454  sh75:0.2692995526371058  sh76:0.5440999657180947  sh77:0.15179008090634052  sh78:0.4685890997163705  sh79:0.32718571642711  sh80:1.0  
0.0 sh0:0.33769842190872995  sh1:0.1712160067667381  sh2:0.20729109896284068  sh3:0.6812505321734815  sh4:0.33983186141510385  sh5:0.1372181524252818  sh6:0.020176775143706138  sh7:1.0  sh8:0.5285326082045715  sh9:0.7274454344941453  sh10:0.17858455437104545  sh11:0.37622635671401045  sh12:0.9215127956950193  sh13:0.5508793445787485  sh14:0.36633935172837373  sh15:0.32442357878559935  sh16:0.4281442731290128  sh17:0.3242723832865164  sh18:0.4827283622557128  sh19:0.3137800196802588  sh20:0.36579421253516664  sh21:0.07676464851885115  sh22:0.4080862836980923  sh23:0.08465594319464606  sh24:0.9368729895019225  sh25:0.6372251022707283  sh26:0.4648836877807833  sh27:0.056048949377809465  sh28:0.17125236828090734  sh29:0.4117277817973638  sh30:0.5218541101489577  sh31:0.3365723265210673  sh32:0.1850125995607002  sh33:0.5563137823357945  sh34:0.7352407824432354  sh35:0.42508295277794617  sh36:0.5332423692391873  sh37:0.6986693525087728  sh38:0.4941445689444612  sh39:0.3252641403273019  sh40:0.5923655135012905  sh41:1.0  sh42:0.6141388833615  sh43:0.688121017400358  sh44:0.45375751473494147  sh45:0.4425861866535245  sh46:0.05585314776965317  sh47:0.21833914575083024  sh48:0.04054045782830474  sh49:0.16904101821691175  sh50:1.0  sh51:0.3969613154638939  sh52:0.6360538690956676  sh53:0.05049278726894878  sh54:0.49252977360225053  sh55:0.3095529042468342  sh56:0.3933433890142972  sh57:0.7710054069673605  sh58:0.5104071100901282  sh59:0.08865762883400129  sh60:0.496151296110815  sh61:0.5507893670273164  sh62:0.40295775657885496  sh63:0.24617181602537339  sh64:0.6926958929650763  sh65:0.8792537529737733  sh66:0.28496639276766395  sh67:0.362964623336426  sh68:0.5263198363152242  sh69:1.0  sh70:0.528409644479383  sh71:0.4710043957638215  sh72:0.9703328457499614  sh73:1.0  sh74:0.46208439275575286  sh75:0.3225018805533591  sh76:0.6578718351453074  sh77:0.686178221014445  sh78:0.9387728368815116  sh79:0.5196724450672588  sh80:0.6447080130067017  
0.0 sh0:0.38073783806207057  sh1:0.09201021502734986  sh2:0.10124478899991703  sh3:0.6963562118392058  sh4:0.36433530487131566  sh5:0.058987228052901526  sh6:0.05991580770923813  sh7:0.8903511412251167  sh8:0.5911035086198366  sh9:0.653283020522043  sh10:0.02973007694182272  sh11:0.42300481539134605  sh12:1.0  sh13:0.7139371952511508  sh14:0.6312823775955156  sh15:1.0  sh16:0.1553862510960828  sh17:0.26757605295769826  sh18:1.0  sh19:0.3158827475318388  sh20:0.19188817771013436  sh21:0.21708461993487044  sh22:0.22249645989911998  sh23:1.0  sh24:0.8096411588270997  sh25:1.0  sh26:1.0  sh27:0.15836166983886665  sh28:0.9051504443072863  sh29:0.652148379571084  sh30:0.7600625652383866  sh31:0.5423545108968784  sh32:0.15470596708654338  sh33:1.0  sh34:0.77641159134915  sh35:1.0  sh36:1.0  sh37:0.6926895453428029  sh38:0.5276742954991198  sh39:0.5721378541908717  sh40:1.0  sh41:0.9145215233373484  sh42:1.0  sh43:0.4309423482450444  sh44:0.6813543900886886  sh45:1.0  sh46:0.1307942926723209  sh47:0.46338816462357346  sh48:0.04718641548079757  sh49:0.58281455941836  sh50:0.7710656532750071  sh51:0.4746672474511057  sh52:0.5228870568780836  sh53:0.09652322677707835  sh54:0.5557418806825849  sh55:0.16785671695555138  sh56:0.7084942306051228  sh57:0.6589939904828808  sh58:0.9111552894766188  sh59:0.26572174724827086  sh60:0.702247039276966  sh61:0.2175826065055678  sh62:0.3627063387799139  sh63:0.6325171601312528  sh64:0.7250797561095452  sh65:0.387041994668064  sh66:0.6355694431560811  sh67:0.5211161114113991  sh68:1.0  sh69:0.5968921320270383  sh70:0.2438700689618186  sh71:1.0  sh72:0.3331812221132999  sh73:0.4074089083864166  sh74:1.0  sh75:0.46139242161401056  sh76:0.4559312545872579  sh77:0.18750034581981748  sh78:0.6851732553058004  sh79:0.4096937744036566  sh80:0.6072793330209277  
0.0 sh0:0.4040656131716245  sh1:0.11182893411993507  sh2:0.3392074902141507  sh3:0.8145731353664973  sh4:1.0  sh5:1.0  sh6:0.6465536734463603  sh7:0.05182545657071016  sh8:1.0  sh9:0.9609715182117021  sh10:0.6360619732926142  sh11:0.8334091296015884  sh12:0.2446725166459381  sh13:0.6598859182821573  sh14:0.5810592930344736  sh15:0.33736455004322974  sh16:0.6154392590779025  sh17:1.0  sh18:0.12663753933541963  sh19:0.4101433423251062  sh20:0.16134912656689257  sh21:0.438486888128375  sh22:0.6736791463959194  sh23:0.08214460332899477  sh24:0.6129222204182277  sh25:0.9046542224217318  sh26:0.33784119468901097  sh27:0.17481769294261346  sh28:0.8253305793132868  sh29:0.6724737191246102  sh30:1.0  sh31:0.0595153291863827  sh32:0.6379702853462514  sh33:0.5278214220155278  sh34:1.0  sh35:0.3058596049741011  sh36:0.24033747106220682  sh37:0.7418669280806138  sh38:1.0  sh39:0.38889229266250536  sh40:0.29741779608507185  sh41:0.311653086325036  sh42:0.8827809998237515  sh43:0.7454105357510414  sh44:0.6483662878465298  sh45:0.18321966215203908  sh46:0.6416796720155312  sh47:0.8745865334399336  sh48:1.0  sh49:0.4593354532650604  sh50:0.955236325324563  sh51:0.9351954943159956  sh52:0.11337540173221686  sh53:0.48126901011694484  sh54:0.20552603495956323  sh55:0.10185262779262896  sh56:0.4487347536662414  sh57:1.0  sh58:0.618027363000954  sh59:0.36281757928778735  sh60:0.8968127780055969  sh61:0.4549709346308578  sh62:0.22984449326411552  sh63:0.12382029919666686  sh64:0.811915903937845  sh65:0.6422966656629969  sh66:0.6698600283629299  sh67:0.2884308373352225  sh68:0.42977598937093364  sh69:0.9516995790863418  sh70:0.2359556152331928  sh71:0.7749466724001871  sh72:0.28227480240493774  sh73:0.17836319640408527  sh74:0.6317031648520451  sh75:0.6928097959566336  sh76:0.6102260404608333  sh77:0.8382581517556824  sh78:0.5685697526641151  sh79:1.0  sh80:0.626186109145004  
0.0 sh0:0.0  sh1:0.7564100133739446  sh2:0.0  sh3:1.0  sh4:0.1665336482132646  sh5:0.06253660645206663  sh6:0.08624422758813068  sh7:0.3825495903584229  sh8:0.0  sh9:0.6401333752355531  sh10:0.0  sh11:0.25857957222578937  sh12:0.3785330210080601  sh13:0.7301200859102555  sh14:0.257990290083691  sh15:0.17476723089457713  sh16:0.905791334030829  sh17:0.2520429509351865  sh18:0.35303107324940947  sh19:0.31886115262800463  sh20:0.32788093629979886  sh21:0.014007725757185539  sh22:0.12656291515680748  sh23:0.06173608109396766  sh24:0.6385304527259421  sh25:0.45546073602732406  sh26:0.0  sh27:0.6921237283389675  sh28:0.9721585756610173  sh29:0.858575769379509  sh30:0.3223316846820838  sh31:1.0  sh32:0.195067038754893  sh33:0.04494646642277122  sh34:0.23588813274447634  sh35:0.8058044936830906  sh36:0.34092442318357524  sh37:1.0  sh38:0.9806920505302299  sh39:0.2280638704319118  sh40:0.4424976856893392  sh41:0.28164618031360705  sh42:0.3536478033865979  sh43:0.6820958772681688  sh44:0.07423460553824522  sh45:0.3003111535232845  sh46:0.04591532060557981  sh47:0.010554531311467356  sh48:0.5103708279188057  sh49:0.0  sh50:0.0  sh51:0.04754057404397471  sh52:0.8625750219202855  sh53:0.03788466823034386  sh54:0.9158800040851093  sh55:0.6532822073905826  sh56:0.9355242394811852  sh57:0.6380203097972835  sh58:0.18454209005715325  sh59:0.012131750421794218  sh60:0.4190685453700268  sh61:0.21632012211011076  sh62:0.6990475456713529  sh63:0.7523926019383962  sh64:0.7515631638784238  sh65:0.06579156445117827  sh66:0.42846844949745777  sh67:0.1992689526144934  sh68:0.32159492087717534  sh69:0.09270540389485511  sh70:0.5918165479259724  sh71:0.3076129179809879  sh72:0.6484836182139687  sh73:0.5510975130373039  sh74:0.5208693084896796  sh75:1.0  sh76:0.4261697129957915  sh77:0.1670434854092257  sh78:0.5898079110314082  sh79:0.45554641536821816  sh80:0.6071496483795364  
1.0 sh0:0.8738828890680961  sh1:0.8998287352892989  sh2:0.6254966101384509  sh3:0.794656530290556  sh4:0.04366620683734458  sh5:0.09063782179377407  sh6:0.03438348937647971  sh7:0.2605049372979901  sh8:0.10190154288652956  sh9:0.52187220696219  sh10:0.04896269274435324  sh11:0.032099316223256194  sh12:0.225366830274027  sh13:0.6384188775388331  sh14:0.2684490198366288  sh15:0.13468938122582522  sh16:0.516864450146208  sh17:0.2697000493964736  sh18:0.0  sh19:0.06481153939814564  sh20:0.540825718582039  sh21:0.005463856315966881  sh22:0.08854222743958025  sh23:0.006953595456554539  sh24:0.06473972940796134  sh25:0.07837236478955796  sh26:0.2710591830360147  sh27:0.23539184658016216  sh28:0.04209124953288953  sh29:0.3069769365648997  sh30:0.031853011593466506  sh31:0.2635752241307878  sh32:0.28421800387048524  sh33:0.009580124311409935  sh34:0.17690528370527658  sh35:0.4071355053933106  sh36:0.0  sh37:0.7361332845762639  sh38:0.24505185574128624  sh39:0.20022503228609392  sh40:0.10807663143496511  sh41:0.0  sh42:0.008729314608964207  sh43:0.19108424781870811  sh44:0.2889979271112952  sh45:0.06354546502682923  sh46:0.043545312766653646  sh47:0.03628680535395079  sh48:0.18782688954385565  sh49:0.0856910025319029  sh50:0.3483109237391858  sh51:0.4903239179180817  sh52:0.8304942789307114  sh53:0.016413530893658324  sh54:0.8605831775117971  sh55:0.4920133289630547  sh56:0.344589716706789  sh57:0.021397035593033464  sh58:0.0  sh59:0.006867023609761694  sh60:0.0  sh61:0.16799254195819485  sh62:0.6596375637067226  sh63:0.5939787278166669  sh64:0.041883608110507536  sh65:0.06688542059039645  sh66:0.23637095085986518  sh67:0.0  sh68:0.0  sh69:0.0  sh70:0.5143941182912551  sh71:0.01274535659878997  sh72:0.5327154826228199  sh73:0.48645119479248  sh74:0.2019569675244024  sh75:0.31048639967034175  sh76:0.793407880496607  sh77:0.2175907660699646  sh78:0.5131147288127548  sh79:0.5513504608856634  sh80:0.3715931599619158  
1.0 sh0:0.9143527243948997  sh1:0.9832223676378737  sh2:0.7459809007577624  sh3:0.27841762818235294  sh4:0.18718948737123553  sh5:0.15384289323924688  sh6:0.8593235236514856  sh7:0.01107928348923159  sh8:0.3985510654729136  sh9:0.660341370964342  sh10:0.5510546566248044  sh11:0.1963540638984355  sh12:0.05573980269599732  sh13:0.37567673706069965  sh14:0.21004495373085294  sh15:0.05484721756312335  sh16:0.9386063496358522  sh17:0.09866805362676638  sh18:0.08203240798612899  sh19:0.03343935002065545  sh20:0.09571991674575228  sh21:0.1280719438386779  sh22:0.4602953914770485  sh23:0.08219276167809601  sh24:0.1636790432103517  sh25:0.3559298346672054  sh26:0.2356963122204661  sh27:0.7277872514923147  sh28:0.33210017922586493  sh29:0.20131204671424502  sh30:0.0  sh31:0.24072155634715958  sh32:0.267448627353132  sh33:0.05299838317501497  sh34:0.204523661452376  sh35:0.07805779335844167  sh36:0.2508232273413395  sh37:0.09505744308130509  sh38:0.19066587621305453  sh39:0.0  sh40:0.03757273695147591  sh41:0.4025466907411043  sh42:0.5045094271019954  sh43:0.0  sh44:0.0  sh45:0.2094185964835234  sh46:0.3924395231854897  sh47:0.4959730939954423  sh48:0.8585272481463908  sh49:0.7249568409369883  sh50:0.49373434153998585  sh51:0.8599083143844896  sh52:0.05832802962903664  sh53:0.9575050919520928  sh54:0.049496402986031196  sh55:0.03439694235823054  sh56:0.6637844626385548  sh57:0.5032124357056987  sh58:0.40363370990545017  sh59:0.009476126301700055  sh60:0.648073917057845  sh61:0.33259601828193436  sh62:0.10437371827245348  sh63:0.015162974360882413  sh64:0.13643671745975577  sh65:0.8365882725135113  sh66:0.05140168216681797  sh67:0.35564713368842193  sh68:0.07477172689566815  sh69:0.6189034329336688  sh70:0.0  sh71:0.44150978908377514  sh72:0.0  sh73:0.13582778690883807  sh74:0.11617978221486767  sh75:0.6849554100614165  sh76:0.9279075470364546  sh77:0.4531511396265421  sh78:0.0  sh79:0.0  sh80:0.0  
1.0 sh0:0.7705434894113576  sh1:0.8723427688904902  sh2:0.5317054730725279  sh3:0.7147744252905299  sh4:0.22023931990943713  sh5:0.06106404807216414  sh6:0.019519269785817327  sh7:0.4397664911039805  sh8:0.04115520999724482  sh9:0.5584318326931417  sh10:0.1065535878473917  sh11:0.24829694210352854  sh12:0.12898038492486716  sh13:0.6469426483084153  sh14:0.28452779519020216  sh15:0.09461828999391315  sh16:0.42880717798405554  sh17:0.23162047995568466  sh18:0.06011264414200755  sh19:0.2299992766994117  sh20:0.7813688564741467  sh21:0.014159596884350728  sh22:0.0915088467500749  sh23:0.027785783549892876  sh24:0.6739654040328481  sh25:0.4599329708151161  sh26:0.3448161317537748  sh27:0.13756552330793456  sh28:0.04503389546035563  sh29:0.25147264844252765  sh30:0.08710639700093235  sh31:0.13452308101137808  sh32:0.2501312348991567  sh33:0.01775058437213726  sh34:0.27442167646772303  sh35:0.3380885627335938  sh36:0.3032271878489309  sh37:0.692531906180791  sh38:0.6229186609756977  sh39:0.20948883785330596  sh40:0.12415516017869392  sh41:0.46680015464045377  sh42:0.43327257822011556  sh43:0.10059179004089143  sh44:0.3033727665416741  sh45:0.04313596912419231  sh46:0.024808003475099507  sh47:0.003383881122627806  sh48:0.04505176280998211  sh49:0.07769220722933176  sh50:0.5366010793177052  sh51:0.04438148322628532  sh52:0.930728683062542  sh53:0.03332155137631286  sh54:0.9810869450149006  sh55:0.9547263050177172  sh56:0.6011107841888457  sh57:0.6463133171216693  sh58:0.4495354578731552  sh59:0.036085010310833145  sh60:0.05210157309722012  sh61:0.18398709182788273  sh62:1.0  sh63:0.7419095995624807  sh64:0.49649506307106367  sh65:0.053320142200516826  sh66:0.19752633080155127  sh67:0.20232687664589907  sh68:0.2724189439845081  sh69:0.12642969755741604  sh70:0.8124147863937689  sh71:0.2323839120948955  sh72:0.6320731583105831  sh73:0.6460378577711656  sh74:0.9460338908955614  sh75:0.3381183105504565  sh76:0.7713617148673222  sh77:0.4978140371506311  sh78:0.5731272059892246  sh79:0.4485593401137921  sh80:0.737731261859179  
1.0 sh0:0.7337009471785809  sh1:0.8085705217032213  sh2:0.3916848633568326  sh3:0.32135119969556486  sh4:0.07892295977958495  sh5:0.2394689082311058  sh6:0.030837394220708157  sh7:0.42093967593695836  sh8:0.01693294881110178  sh9:0.46344505853561085  sh10:0.29329532539714104  sh11:0.07823633425841596  sh12:0.13869661549684337  sh13:0.2964154329152289  sh14:0.39253418400576207  sh15:0.12029221151471306  sh16:0.7720412399936821  sh17:0.45063008287466483  sh18:0.2822036368700218  sh19:0.2563265379572854  sh20:0.9553189116935831  sh21:0.004234986659023563  sh22:0.2113494892540138  sh23:0.0  sh24:0.11337631296802732  sh25:0.043294337270442504  sh26:0.19919974975867072  sh27:0.03129389490377621  sh28:0.0  sh29:0.37181702819780305  sh30:0.07558376800419325  sh31:0.2472422231636378  sh32:0.3220190326271583  sh33:0.01566654067031153  sh34:0.10272606672036305  sh35:0.39815141632990414  sh36:0.031120075535436848  sh37:0.2556898092589852  sh38:0.6339011814898722  sh39:0.3520198720208597  sh40:0.21489416409283135  sh41:0.663677708167228  sh42:0.1600599996490658  sh43:0.11284633976559308  sh44:0.320985692952238  sh45:0.0  sh46:0.02239831288317438  sh47:0.0  sh48:0.0  sh49:0.18165371126830554  sh50:0.6153415876189255  sh51:0.03524985531707476  sh52:0.9826736205762028  sh53:0.05565622886001379  sh54:0.9371823591514118  sh55:0.6958620261038397  sh56:0.32773707170053135  sh57:0.1789485894710684  sh58:0.06427733368611357  sh59:0.017244407936974192  sh60:0.36314522699505764  sh61:0.3143900535743439  sh62:0.6825453395376962  sh63:0.6817057047505142  sh64:0.28353939355837626  sh65:0.027148272723335694  sh66:0.3205667105537888  sh67:0.2106551667381353  sh68:0.07503799267204209  sh69:0.42669346033117145  sh70:0.7381866562463456  sh71:0.3761876528554156  sh72:0.703569360847532  sh73:0.5519674435759027  sh74:0.13363331965776035  sh75:0.3627925979091391  sh76:0.7972024992797352  sh77:1.0  sh78:0.6284567792051516  sh79:0.5890846461428665  sh80:0.6788470209380001  
1.0 sh0:0.8759633965343341  sh1:0.9792968707998229  sh2:0.7973093117263846  sh3:0.30798644316156154  sh4:0.028890761431984314  sh5:0.4774501734179835  sh6:0.8976092178073336  sh7:0.01863611606332358  sh8:0.39852133588525157  sh9:0.5568600444203469  sh10:0.4765698803868922  sh11:0.015104404954021758  sh12:0.05599333994189883  sh13:0.1926304269215576  sh14:0.03288498890552216  sh15:0.08841590590164501  sh16:0.43102752113135073  sh17:0.5079281954886764  sh18:0.09792006195786448  sh19:0.014629956368393983  sh20:0.4403132243521196  sh21:0.3678457034535242  sh22:0.7313259319405151  sh23:0.06353836690427535  sh24:0.04957799316906701  sh25:0.4940498903318339  sh26:0.27679043808673215  sh27:1.0  sh28:0.8140311496921214  sh29:0.1428140422364707  sh30:0.07331442006150896  sh31:0.1961255681158405  sh32:0.09750612676016282  sh33:0.05643677166680119  sh34:0.03700975294503729  sh35:0.04825307980626997  sh36:0.034856703471777384  sh37:0.05932952906779192  sh38:0.15806441887458106  sh39:0.05082710447355186  sh40:0.0984883496382947  sh41:0.4424265062305402  sh42:0.20872148074975042  sh43:0.11755900758179286  sh44:0.05236625471026013  sh45:0.22262672064754238  sh46:0.3844040492698033  sh47:0.4655497256934977  sh48:0.44259396655880595  sh49:0.39733075131516626  sh50:0.5685872160066269  sh51:0.8504627076594107  sh52:0.10846917305905862  sh53:0.9013360965492506  sh54:0.09672277596349933  sh55:0.011356681851465005  sh56:0.15287645805363892  sh57:0.05323337528114802  sh58:0.08905812064103212  sh59:0.1979614567815705  sh60:0.46573603104417677  sh61:0.7399602895751285  sh62:0.03589665879178106  sh63:0.012914058142711956  sh64:0.016119654870955038  sh65:0.6913585144809008  sh66:0.222056986064572  sh67:0.09790425216757748  sh68:0.1181530878843204  sh69:0.5339641677953892  sh70:0.02500177303368519  sh71:0.47628812308232904  sh72:0.17932831135643434  sh73:0.06570506078827079  sh74:0.11120113800730246  sh75:0.052432142585017216  sh76:0.6600002485794207  sh77:0.3709050339354397  sh78:0.5280678996520768  sh79:0.28290699586527773  sh80:0.1851380839706706  
