0.0 sh0:0.386630286115797  sh1:0.19244584166253592  sh2:0.23029855688083506  sh3:0.0  sh4:0.2981499419483822  sh5:0.0  sh6:0.14718600195620146  sh7:0.0  sh8:0.40565835017084134  sh9:0.38607657135322393  sh10:0.18338649866765844  
0.0 sh0:0.39241492164214037  sh1:0.43321055380360995  sh2:0.3919228918966096  sh3:0.3560226073751005  sh4:0.22728956590553048  sh5:0.1626352923331375  sh6:0.3586007527886243  sh7:0.5970909755822466  sh8:0.13008772849337555  sh9:0.29979375941911146  sh10:0.1156419628686064  
0.0 sh0:0.5469543854623247  sh1:0.15769662652707805  sh2:0.1648400617751953  sh3:0.11554612592841465  sh4:0.44319627366339026  sh5:0.05870310833491816  sh6:0.15635284235223523  sh7:0.3327027274138877  sh8:0.7445999166363274  sh9:0.6787638544484262  sh10:0.4724396007975395  
0.0 sh0:0.3450413832361337  sh1:0.2772005256896534  sh2:0.3125703732078623  sh3:0.24380224747354684  sh4:0.27867918028076705  sh5:0.11878167898581127  sh6:0.3698297240663636  sh7:0.7385667261720955  sh8:0.2537588127170464  sh9:0.3913429808546438  sh10:0.046479530051949686  
0.0 sh0:0.43125174424047996  sh1:0.1783618180807133  sh2:0.11224396621246074  sh3:0.10526290098831861  sh4:0.41673113150555974  sh5:0.12173560013886586  sh6:0.11505288230189965  sh7:0.11705344273570495  sh8:0.4685261410488915  sh9:0.3335777523317978  sh10:0.6655557944824996  
0.0 sh0:0.5569233191358879  sh1:0.5564770798923564  sh2:0.6043308259900739  sh3:0.39362444877887265  sh4:0.2820589638719654  sh5:0.23201989392246175  sh6:0.7048548656183115  sh7:0.6501319582684324  sh8:0.6489276877867651  sh9:0.7342094942613431  sh10:0.015942197805028837  
0.0 sh0:0.37440444113915444  sh1:0.2567324513566725  sh2:0.126629950310601  sh3:0.2025788195367137  sh4:0.30489981875159705  sh5:0.040421338784060665  sh6:0.23619273273879543  sh7:0.3373879855738976  sh8:0.12204641563563139  sh9:0.47652153701745253  sh10:0.1066630754007231  
0.0 sh0:0.48152277177998215  sh1:0.28422375313432746  sh2:0.3963230607999868  sh3:0.3047038438544591  sh4:0.38863530653893996  sh5:0.09005196540476927  sh6:0.2048555309073554  sh7:0.37958053436655603  sh8:0.5191660671155104  sh9:0.40470324660655543  sh10:0.32535770517583207  
0.0 sh0:0.3934093051034426  sh1:0.35703482080465443  sh2:0.1961456045400681  sh3:0.38787180055656256  sh4:0.3136628530351673  sh5:0.36185224176873965  sh6:0.3624848324430591  sh7:0.7637880979739764  sh8:0.11457513576822588  sh9:0.3845160741296823  sh10:0.7312203599360257  
0.0 sh0:0.36072521945582475  sh1:0.21258439864217069  sh2:0.18817298637562418  sh3:0.14548061983058452  sh4:0.26946093349205197  sh5:0.039101991524212475  sh6:0.2570961212857493  sh7:0.7102599186587271  sh8:0.26764761240092855  sh9:0.2716323300832191  sh10:0.11205944822059409  
0.0 sh0:0.5849268426690182  sh1:0.18146389642378863  sh2:0.20899988400966849  sh3:0.3791211046028797  sh4:0.7573370240077012  sh5:0.3348024632038002  sh6:0.35165958788943524  sh7:0.723683241630366  sh8:0.13949541886281305  sh9:0.36728965382155476  sh10:0.30749771536095905  
