1.0 sh0:0.11907181333183754  sh1:1.0  sh2:0.012252278629571185  sh3:0.16643021468072075  sh4:0.33544855777549637  sh5:0.3802180980806221  sh6:0.4883285166977738  sh7:0.4738792186987373  sh8:1.0  
2.0 sh0:0.6222709297559094  sh1:0.3347827320977837  sh2:1.0  sh3:1.0  sh4:1.0  sh5:1.0  sh6:0.7909231747604873  sh7:0.6801118282017864  sh8:0.5367687072360382  
3.0 sh0:0.9608597768416676  sh1:0.6267759461266369  sh2:0.2942669876924661  sh3:0.8633563008649489  sh4:0.0  sh5:0.010551339024253155  sh6:1.0  sh7:0.687178118920106  sh8:0.6726069784688111  
2.0 sh0:0.9149286721879032  sh1:0.0  sh2:0.4857569322629507  sh3:0.6717348683370803  sh4:0.4274541490577073  sh5:0.3797547171732642  sh6:0.6730823161535814  sh7:1.0  sh8:0.3871962435542402  
2.0 sh0:0.17017017736017703  sh1:0.15877932608085152  sh2:0.32858383192478097  sh3:0.09177053644872185  sh4:0.3412157321581857  sh5:0.3227572270031162  sh6:0.1976361881472296  sh7:0.1416115608855109  sh8:0.29800336061988614  
1.0 sh0:0.16927820003094993  sh1:0.7976642711449655  sh2:0.0  sh3:0.09548822276464919  sh4:0.31135812241341665  sh5:0.33997800682526746  sh6:0.121177615822641  sh7:0.2678051037602382  sh8:0.7969697131047347  
3.0 sh0:1.0  sh1:0.43001798869766206  sh2:0.28044075598904294  sh3:0.9307399487828093  sh4:0.01988654887561687  sh5:0.0  sh6:0.7897115732774975  sh7:0.5254361941361468  sh8:0.6437603110605978  
2.0 sh0:0.26221292587177725  sh1:0.09868510249713179  sh2:0.3503833608189947  sh3:0.18185067370178848  sh4:0.32470047289438014  sh5:0.2889679434241146  sh6:0.308979893425825  sh7:0.2735708421066771  sh8:0.29949407578833265  
3.0 sh0:0.834256731372215  sh1:0.47446480881885444  sh2:0.2654722556897938  sh3:0.6768115762737126  sh4:0.030219657031862912  sh5:0.010156621538282687  sh6:0.80274029434704  sh7:0.42689015748163095  sh8:0.7237872739395639  
0.0 sh0:0.759216097528557  sh1:0.7887534798826787  sh2:0.9345174968345967  sh3:0.3779513737713184  sh4:0.7982490739079063  sh5:0.9241689518476773  sh6:0.6795965103018212  sh7:0.3708026648997027  sh8:0.0  
1.0 sh0:0.0  sh1:0.3625246411477426  sh2:0.10560013243008134  sh3:0.0  sh4:0.17529403127089174  sh5:0.17246570954832469  sh6:0.0  sh7:0.0  sh8:0.48781966102511126  
2.0 sh0:0.9115958616535421  sh1:0.17469310337967373  sh2:0.7385031940905971  sh3:0.8158131968044543  sh4:0.7077981763614204  sh5:0.6997162572460546  sh6:0.9172590745830962  sh7:0.643458682676586  sh8:0.28936549058383315  
1.0 sh0:0.06750566055596662  sh1:0.6650753659693225  sh2:0.027279388011698668  sh3:0.085109497884574  sh4:0.2878812423299819  sh5:0.3087705827394872  sh6:0.10743507785730615  sh7:0.21105110783968892  sh8:0.6432976106022695  
3.0 sh0:0.9196576993001564  sh1:0.3480824431098359  sh2:0.2887678203892333  sh3:0.8133887567856414  sh4:0.03355987191765935  sh5:0.008331379309480143  sh6:0.5613053033457988  sh7:0.5015089466533689  sh8:0.5789756464836683  
1.0 sh0:0.03020338663391586  sh1:0.4130371913465723  sh2:0.0688603474940979  sh3:0.037130103931341855  sh4:0.22295761737624845  sh5:0.22245878984720585  sh6:0.13199055577728985  sh7:0.023896083681820716  sh8:0.494494544861912  
1.0 sh0:0.09881489163662004  sh1:0.7210412287165711  sh2:0.026580943245933134  sh3:0.12372502202755653  sh4:0.39471311090188627  sh5:0.399827247433862  sh6:0.19943705316939625  sh7:0.14958265492937992  sh8:0.8247134400119963  
