0.0 sh0:0.0  sh1:0.19833079587802305  sh2:0.3293071973437407  sh3:0.3548480883245883  sh4:0.2639880499407601  sh5:0.18596819664037711  sh6:0.18074163751940792  sh7:0.32366018550244996  sh8:0.18725863559908762  sh9:0.3304131827476714  sh10:0.09481212280672066  sh11:0.4493646816032755  
0.0 sh0:0.13755975074620616  sh1:0.34543825180178345  sh2:0.5518172173242513  sh3:0.5363830425216507  sh4:0.21333365987322875  sh5:0.4175098443580494  sh6:0.358410437479174  sh7:0.519525531339381  sh8:0.41851781463615256  sh9:0.4487693349345914  sh10:0.006683186448830249  sh11:0.18047296468390223  
1.0 sh0:1.0  sh1:1.0  sh2:0.9492736341725972  sh3:0.9861990906418656  sh4:1.0  sh5:0.10548493248185896  sh6:0.1823864619260004  sh7:0.0  sh8:0.0694660299611583  sh9:0.04038922147347399  sh10:1.0  sh11:1.0  
1.0 sh0:0.2505514769641647  sh1:0.5109089217957578  sh2:0.8351347080448194  sh3:0.7685863975761842  sh4:0.13029317233369936  sh5:0.8228563834174885  sh6:0.7675000757398508  sh7:0.8610585975890481  sh8:0.8484084164000606  sh9:0.8812452288883094  sh10:0.08825828446835138  sh11:0.008441713911585257  
0.0 sh0:0.11004817457080532  sh1:0.28224860919312017  sh2:0.553980234235045  sh3:0.48079222910884734  sh4:0.29825052041047295  sh5:0.3463979948783373  sh6:0.30174926936999524  sh7:0.4604127413428855  sh8:0.3827182257642029  sh9:0.5071030651797552  sh10:0.05140404947279934  sh11:0.2512882614901441  
0.0 sh0:0.34912872026688885  sh1:0.2777412177456718  sh2:0.1908362289671928  sh3:0.2534569908560971  sh4:0.6117867173857708  sh5:0.03199459100101203  sh6:0.19124512602125998  sh7:0.07192989515977385  sh8:0.0  sh9:0.07473887676470742  sh10:0.3740902482301423  sh11:0.8234578634935538  
1.0 sh0:0.2621320993008266  sh1:0.7046775652441443  sh2:0.9522684403670714  sh3:0.9585889491721574  sh4:0.01691324149800815  sh5:0.9992374979478492  sh6:0.9059064872782489  sh7:1.0  sh8:1.0  sh9:0.8901068734727493  sh10:0.21539892618936868  sh11:0.15213618158235767  
0.0 sh0:0.13343483232648154  sh1:0.3167858553516169  sh2:0.5651787376522663  sh3:0.5227318505868727  sh4:0.2511666747954746  sh5:0.46598927390749273  sh6:0.40480626745998155  sh7:0.559378491737303  sh8:0.5010244818920964  sh9:0.5794589003947023  sh10:0.033845709481534425  sh11:0.12840935245961602  
0.0 sh0:0.13659792090646025  sh1:0.3317079865588382  sh2:0.5600629480520769  sh3:0.5315151080086934  sh4:0.25326926274430056  sh5:0.48749401263826636  sh6:0.4140371277048667  sh7:0.5803103603460532  sh8:0.529680419376597  sh9:0.6001825334435819  sh10:0.03096661165885427  sh11:0.1315759110421009  
1.0 sh0:0.3348632405429057  sh1:0.5880335969056069  sh2:0.9356760863432598  sh3:0.8581676134318529  sh4:0.1419632788686076  sh5:0.9316838872362864  sh6:0.8774972529936482  sh7:0.8477599826632587  sh8:0.7864350181475692  sh9:0.9830597403400488  sh10:0.11969628145096357  sh11:0.018703599888406926  
1.0 sh0:0.34741906144831913  sh1:0.6169298514693498  sh2:0.9043702436746803  sh3:0.8344292221269966  sh4:0.18630452235737424  sh5:0.9930597874954055  sh6:0.7626478770434687  sh7:0.7212347491032417  sh8:0.7795767509569339  sh9:0.5563501729929631  sh10:0.1709967510765831  sh11:0.25738196117231255  
0.0 sh0:0.1432719169608695  sh1:0.4153893549657709  sh2:0.6346869553652353  sh3:0.629561647757239  sh4:0.22999661239465316  sh5:0.58413342883802  sh6:0.41631239936357994  sh7:0.5613279149626444  sh8:0.5998012973007961  sh9:0.484208661105657  sh10:0.013388986203882326  sh11:0.15049009641391692  
0.0 sh0:0.10777406217624266  sh1:0.2804148355583762  sh2:0.5526092366395811  sh3:0.4816125787665723  sh4:0.2732726999287239  sh5:0.38401297731422773  sh6:0.3201270955999375  sh7:0.5026339965793039  sh8:0.4274597530083681  sh9:0.5468171422800093  sh10:0.0503308913061407  sh11:0.2264951935148497  
1.0 sh0:0.1960980148962865  sh1:0.39521931723753984  sh2:0.6602503575791111  sh3:0.60004674116249  sh4:0.16676794152411914  sh5:0.7254934297816716  sh6:0.5415607973428265  sh7:0.6925160555656559  sh8:0.8614378885066309  sh9:0.6150309084132806  sh10:0.04063677635595827  sh11:0.07369367033845449  
0.0 sh0:0.1053833780127581  sh1:0.29979614942395133  sh2:0.49022950787211833  sh3:0.4808391882079361  sh4:0.2185551103780324  sh5:0.39876904727141466  sh6:0.32058126219327765  sh7:0.45892602440496716  sh8:0.37502946928651126  sh9:0.40851428560082315  sh10:0.0  sh11:0.20238294244086003  
1.0 sh0:0.3538740998044179  sh1:0.2572231026105725  sh2:0.27171301135685316  sh3:0.24125938729607332  sh4:0.4566992775551408  sh5:0.07858316391935713  sh6:0.04236071441190561  sh7:0.09364369094833219  sh8:0.09158599247424316  sh9:0.11203821368403455  sh10:0.3686365723467812  sh11:0.6789244423768981  
0.0 sh0:0.15248174482500823  sh1:0.020123997475481947  sh2:0.10337742301629718  sh3:0.038918458845303774  sh4:0.45656102454861436  sh5:0.17460402235783593  sh6:0.2205544264558703  sh7:0.2680818062908897  sh8:0.17968923694296207  sh9:0.3398052572567382  sh10:0.16368379600454158  sh11:0.7217853076509292  
0.0 sh0:0.16383711826855252  sh1:0.025656227944571435  sh2:0.06157670471628963  sh3:0.0  sh4:0.4990699618347498  sh5:0.17683940466120435  sh6:0.2164959689075418  sh7:0.2480619953265845  sh8:0.18943117237659862  sh9:0.3389987902128734  sh10:0.19628842909022326  sh11:0.6926984917835474  
1.0 sh0:0.25610034856801656  sh1:0.48678709418237215  sh2:0.8004567271077694  sh3:0.7208018349488171  sh4:0.11691416390313629  sh5:0.8761737582449148  sh6:0.7911175875836289  sh7:0.8950950253551221  sh8:0.8253723225553794  sh9:0.9119081290778539  sh10:0.08411820954686507  sh11:0.008926359138390003  
0.0 sh0:0.133812993836826  sh1:0.28417063431788137  sh2:0.5605608732211048  sh3:0.4874751244886834  sh4:0.2776774769361437  sh5:0.4346236262264991  sh6:0.34381207312812656  sh7:0.5324800228963796  sh8:0.4791619213922356  sh9:0.5873258690707605  sh10:0.04596271503867451  sh11:0.19396507381393352  
0.0 sh0:0.11784195225604316  sh1:0.34683230583504776  sh2:0.5919665113695441  sh3:0.5708306495065387  sh4:0.21690438177071203  sh5:0.475817467589365  sh6:0.41155089685481455  sh7:0.5773197373868845  sh8:0.5191210979479758  sh9:0.578454921688828  sh10:0.028876506484547284  sh11:0.11804658856658257  
1.0 sh0:0.26346221999826536  sh1:0.5358334840265577  sh2:0.8288497634818492  sh3:0.7867198952834042  sh4:0.1163582752046481  sh5:0.97888653295934  sh6:0.8980504283754074  sh7:0.9620380155346439  sh8:0.8613419094255197  sh9:0.8918641014662066  sh10:0.08947183876368546  sh11:0.0497155645740496  
0.0 sh0:0.11045371083368853  sh1:0.36763910459283455  sh2:0.5785212386486112  sh3:0.5748353916428706  sh4:0.22156979663980983  sh5:0.5077540712197954  sh6:0.37289112778193684  sh7:0.5418783796337184  sh8:0.5624224221462449  sh9:0.485611389682352  sh10:0.010908030150868662  sh11:0.1573034930114441  
0.0 sh0:0.07226348800213937  sh1:0.09010638333881305  sh2:0.24967758059189102  sh3:0.21048561337071234  sh4:0.2931383951318802  sh5:0.2281865216742167  sh6:0.2361267909641873  sh7:0.3637268827181459  sh8:0.23519632882229008  sh9:0.4215564874687629  sh10:0.06681928321546303  sh11:0.4156198109493922  
