1.0 sh0:0.6670026997214484  sh1:1.0  sh2:0.7296008698575719  sh3:1.0  sh4:0.328825129411719  
1.0 sh0:0.46138371592194305  sh1:0.7675563375211679  sh2:0.8568552621907293  sh3:0.6080822725108082  sh4:0.05533663746140857  
0.0 sh0:0.8330604567436661  sh1:0.10384453804521822  sh2:0.9630900546567946  sh3:0.7795847701652145  sh4:0.4252352959253258  
0.0 sh0:0.0  sh1:0.1395156563210584  sh2:0.4031741265289054  sh3:0.6944383834579244  sh4:0.7556828352792258  
0.0 sh0:0.2012441819395811  sh1:0.09952229891800195  sh2:0.5274235829587699  sh3:0.6072363409620553  sh4:0.7045627199250883  
1.0 sh0:0.592299301344492  sh1:0.44340538281163244  sh2:0.9534755645573556  sh3:0.4269148337486788  sh4:0.051375266414205145  
1.0 sh0:0.35642384423388707  sh1:0.0  sh2:0.6593978451332324  sh3:0.857755769733168  sh4:0.0  
0.0 sh0:0.018310619380753228  sh1:0.21685810866141497  sh2:0.425789915039671  sh3:0.7313321598385429  sh4:0.6753878492920311  
1.0 sh0:0.5243262466967964  sh1:0.35158813623838114  sh2:0.8797145588062415  sh3:0.7604888746391885  sh4:0.0457487074029153  
0.0 sh0:0.2956146568522715  sh1:0.17770707441455685  sh2:0.0  sh3:0.7350512103419047  sh4:0.49255674431677277  
0.0 sh0:0.9240941309349615  sh1:0.08818875219024282  sh2:1.0  sh3:0.6554202799828821  sh4:0.44873875220873427  
1.0 sh0:0.7580537600478838  sh1:0.4826431486036217  sh2:0.8936395868881981  sh3:0.822626855977582  sh4:1.0  
1.0 sh0:0.3726274545182685  sh1:0.026618366369952327  sh2:0.6524601036376172  sh3:0.9077544529332183  sh4:0.010019897088026865  
0.0 sh0:0.10798804623776524  sh1:0.11411410511726595  sh2:0.5596378802024304  sh3:0.5494149627337016  sh4:0.5168018234664923  
0.0 sh0:0.29768236504404927  sh1:0.09927674554739965  sh2:0.6711376126991542  sh3:0.5572340095891138  sh4:0.5229985981597302  
1.0 sh0:0.506980684284995  sh1:0.6065726928148787  sh2:0.7720376455934003  sh3:0.8033668525002886  sh4:0.30840814566542113  
0.0 sh0:0.5904797237726599  sh1:0.296382472504701  sh2:0.8569586167976827  sh3:0.0  sh4:0.31650658181601526  
0.0 sh0:0.07060457853004606  sh1:0.18505004015230103  sh2:0.41726476137631746  sh3:0.6855622924030699  sh4:0.6361191173777093  
1.0 sh0:1.0  sh1:0.5871561911407902  sh2:0.9599994398236062  sh3:0.666169565981249  sh4:0.9558932385167432  
1.0 sh0:0.6190465932698228  sh1:0.8954389147354446  sh2:0.8772594102554925  sh3:0.4672524725486171  sh4:0.23739276952481103  
