1.0 sh0:0.021270604580681352  sh1:0.008383133636208278  sh2:0.5172042135728294  sh3:0.38856430012775606  sh4:1.0  sh5:0.746141394351456  sh6:0.7008393303314423  sh7:0.2618692401742111  sh8:0.3000969631443945  sh9:0.8469065755400376  sh10:0.8650515183478524  sh11:0.8860773047904892  sh12:0.004746515757711956  sh13:0.0637892204151778  
0.0 sh0:0.0046618554939227225  sh1:0.018203203811243872  sh2:0.9253709044473933  sh3:0.9350007527502154  sh4:0.3822902531790486  sh5:0.7217635969788643  sh6:0.6871155684617215  sh7:0.2333926429483236  sh8:0.2522123531308038  sh9:0.9177308987095643  sh10:0.9323361919478985  sh11:0.9463258412632711  sh12:1.0  sh13:0.20715682379636974  
0.0 sh0:0.002937066866306202  sh1:0.018611059757580383  sh2:1.0  sh3:1.0  sh4:0.2474653906406294  sh5:0.7210830262475453  sh6:0.6855122129831716  sh7:0.23385403856800366  sh8:0.2603635923488422  sh9:0.9456761503646457  sh10:0.9530788020995932  sh11:0.9676334184495811  sh12:0.99009992897511  sh13:0.2854754624319738  
0.0 sh0:0.0038901622125576715  sh1:0.019350189189450955  sh2:0.9953134731297371  sh3:0.997408312441045  sh4:0.27680210705208597  sh5:0.7544284336342977  sh6:0.7214381875527435  sh7:0.2248545063005347  sh8:0.2478405282639565  sh9:0.9391619739858249  sh10:0.9473043819504816  sh11:0.974681398723913  sh12:0.9993175336973871  sh13:0.40286601045570647  
5.0 sh0:0.8640893322628136  sh1:0.6481028674535628  sh2:0.859488805490275  sh3:0.8347396632643712  sh4:0.28341705894252833  sh5:0.0  sh6:0.01662206841166098  sh7:0.955407260785568  sh8:0.9502184756884808  sh9:0.9710990819184666  sh10:0.9662615929640948  sh11:0.7165424417617892  sh12:0.012033805126912387  sh13:0.6258509060002609  
2.0 sh0:0.28932033589769823  sh1:0.3032783629445148  sh2:0.7947941883841392  sh3:0.5632617621988995  sh4:0.8403677775757094  sh5:1.0  sh6:1.0  sh7:0.0  sh8:0.03246201593814775  sh9:0.7730838345539334  sh10:0.8925095882698257  sh11:0.6523753472418347  sh12:0.006141498843212878  sh13:0.6405265606835411  
0.0 sh0:0.004318830768803032  sh1:0.01648221170443818  sh2:0.9067686744461851  sh3:0.898197451819921  sh4:0.5150917621503172  sh5:0.7139418784346282  sh6:0.6751371222437181  sh7:0.253412882372192  sh8:0.28428447973207127  sh9:0.931977266979809  sh10:0.887320546346504  sh11:0.9423520866732638  sh12:0.8520666117362677  sh13:0.15494870591006607  
2.0 sh0:0.2843313024891385  sh1:0.2716299602373525  sh2:0.7913986494808533  sh3:0.4998860168511356  sh4:0.42862576970068694  sh5:0.9652133278818683  sh6:0.9734930194410358  sh7:0.013655479222735724  sh8:0.013901662792925299  sh9:0.7585159824268057  sh10:0.8525336536776136  sh11:0.6853952784174044  sh12:0.004717557387438683  sh13:0.8487536794585422  
1.0 sh0:0.01678089052067078  sh1:0.0058490170332683245  sh2:0.6141391369354989  sh3:0.4192375658959865  sh4:0.19020406599105744  sh5:0.7290963028842383  sh6:0.6848525224229288  sh7:0.2834759153832563  sh8:0.3033612664160674  sh9:0.883475652004556  sh10:0.9182047442780031  sh11:0.981809367964528  sh12:0.009644701321037156  sh13:0.1240011824798596  
0.0 sh0:0.007159416046705646  sh1:0.023433572331299193  sh2:0.9792255262150789  sh3:0.9587535744041025  sh4:0.27533909659915257  sh5:0.8047721310335413  sh6:0.7688401699678249  sh7:0.20619628425119602  sh8:0.2400867123050989  sh9:0.9264203649996011  sh10:0.9440939787608583  sh11:1.0  sh12:0.9434156389524219  sh13:0.13590303192290684  
4.0 sh0:0.878271892729489  sh1:0.9016302070043862  sh2:0.08406907512310241  sh3:0.038389484579505403  sh4:0.45368683440800345  sh5:0.7694679135801226  sh6:0.7451403756129438  sh7:0.6104857444968846  sh8:0.7275165184141056  sh9:0.03365399684997273  sh10:0.6971774340560679  sh11:0.49221101578466203  sh12:0.003908996165225223  sh13:0.06006547871356843  
5.0 sh0:0.8029916175581784  sh1:0.5516441298198037  sh2:0.9286570558646314  sh3:0.9616724080710877  sh4:0.3521088447570696  sh5:0.019241639530228272  sh6:0.009270470245511081  sh7:0.9369272013970246  sh8:0.9456919826947863  sh9:0.9486658309279202  sh10:1.0  sh11:0.7459979821509628  sh12:0.03199751055933152  sh13:1.0  
3.0 sh0:0.9420396605339788  sh1:0.8777484873869943  sh2:0.0627511996944133  sh3:0.04057318926497751  sh4:0.255681215068986  sh5:0.7847051851374356  sh6:0.7559470880023802  sh7:0.6036708313445772  sh8:0.7013742443013914  sh9:0.41498855921350913  sh10:0.1655906395831558  sh11:0.20628459834817575  sh12:8.073845224090823E-4  sh13:0.20064676551332059  
5.0 sh0:0.8605284723053124  sh1:0.6481581850536314  sh2:0.8908523453333557  sh3:0.8736453908334146  sh4:0.45300384800962706  sh5:0.01677795905659259  sh6:0.0  sh7:1.0  sh8:1.0  sh9:0.9484129340579986  sh10:0.9994389423255338  sh11:0.7781130567614318  sh12:0.026616609227280732  sh13:0.1744109390640347  
1.0 sh0:0.019162597983368522  sh1:0.006297478006282502  sh2:0.5394922005597644  sh3:0.42365319310336413  sh4:0.3240736967151829  sh5:0.7820092497659387  sh6:0.7423739061175064  sh7:0.22446986693530793  sh8:0.2586228067359419  sh9:0.8920533756511352  sh10:0.867221650678055  sh11:0.9153806794081525  sh12:0.003499622768148147  sh13:0.2331632874928973  
4.0 sh0:0.995487899901931  sh1:1.0  sh2:0.0  sh3:0.0  sh4:0.0  sh5:0.694421492490681  sh6:0.6705674027741257  sh7:0.7606618378651018  sh8:0.8617411756695642  sh9:0.29010560491122345  sh10:0.18507094681846736  sh11:0.2545817690621108  sh12:0.006519870218402559  sh13:0.04611187556064397  
0.0 sh0:0.003311188350363517  sh1:0.020382392814830695  sh2:0.9679110965963442  sh3:0.9901809097577418  sh4:0.605680360677215  sh5:0.7651669144752319  sh6:0.7262358720983932  sh7:0.23936171206284343  sh8:0.27668786402539913  sh9:0.9180594545301018  sh10:0.9252462921787991  sh11:0.99656284270915  sh12:0.9927054242477327  sh13:0.216973161143119  
1.0 sh0:0.018208858886510935  sh1:0.0  sh2:0.5620916321959032  sh3:0.3856813510924377  sh4:0.34888733549629203  sh5:0.7329215853413686  sh6:0.6907378749473407  sh7:0.26128427607660093  sh8:0.29477355565716407  sh9:0.9077521227767932  sh10:0.8988704524351973  sh11:0.9396676135846658  sh12:0.0026683072379603536  sh13:0.21105354593018696  
0.0 sh0:0.0  sh1:0.021887255587190152  sh2:0.9336578910318563  sh3:0.9336032523698429  sh4:0.5675450608240297  sh5:0.7418293731187575  sh6:0.7058724594135145  sh7:0.23595865001379915  sh8:0.2679851607047881  sh9:0.9185489862311036  sh10:0.8892431282685758  sh11:0.9665267909805482  sh12:0.9543873131915269  sh13:0.47599348894898913  
2.0 sh0:0.31147043663590196  sh1:0.28710749424956433  sh2:0.7898642245374514  sh3:0.6141967026270411  sh4:0.20869799994724486  sh5:0.9435232710848318  sh6:0.9497498807955692  sh7:0.028038868334662223  sh8:0.0  sh9:0.7313178521296869  sh10:0.8526549510354856  sh11:0.6595385483441377  sh12:0.0032624657186516083  sh13:0.39385085242486084  
1.0 sh0:0.03111984610656482  sh1:0.0065621050329489035  sh2:0.48375941902865716  sh3:0.3816028287724872  sh4:0.4203243423378782  sh5:0.7382029982552086  sh6:0.6979112484986465  sh7:0.2575235050617144  sh8:0.2698995522619259  sh9:1.0  sh10:0.7699742273022101  sh11:0.871653496986601  sh12:0.002865253711713616  sh13:0.05225324218004274  
0.0 sh0:8.223619241119927E-4  sh1:0.021177421369135644  sh2:0.8853499515122194  sh3:0.8993944017646276  sh4:0.4261862816013219  sh5:0.7383014522105019  sh6:0.6981906468335711  sh7:0.2504546749628397  sh8:0.28379152502853106  sh9:0.9237251432349238  sh10:0.8830040479821043  sh11:0.9673064466775109  sh12:0.9329633813222303  sh13:0.217334254294065  
4.0 sh0:1.0  sh1:0.9321921867981163  sh2:0.059393579678346374  sh3:0.03402694463156033  sh4:0.12893184651967018  sh5:0.8684507515587274  sh6:0.8125435288461773  sh7:0.6857801767613386  sh8:0.845349120138818  sh9:0.0  sh10:0.5978186743073463  sh11:0.4491239330490609  sh12:0.0028973642506604884  sh13:0.045290333633353615  
3.0 sh0:0.8343809524958353  sh1:0.8211112533044831  sh2:0.08706682237999602  sh3:0.03703565524074789  sh4:0.2620372212023329  sh5:0.7092595782485404  sh6:0.7096988990116827  sh7:0.6729507518073335  sh8:0.7856776964704744  sh9:0.4227879628464173  sh10:0.0  sh11:0.21686462310996682  sh12:0.0012610566984812826  sh13:0.03928941674489014  
3.0 sh0:0.7561364071252141  sh1:0.7744392994026172  sh2:0.09889729312797992  sh3:0.046329454131090755  sh4:0.7010167174540717  sh5:0.9089093788189321  sh6:0.8482559027815454  sh7:0.7424844970749452  sh8:0.8421381910517995  sh9:0.41281215121311254  sh10:0.021563522729539132  sh11:0.0  sh12:0.0  sh13:0.0  
