0.0 sh0:0.030981487947131438  sh1:0.026523477297843268  sh2:0.03779848646928875  sh3:0.027345811659074924  sh4:0.046584051198802955  sh5:0.029552244664758365  sh6:0.04047689574437036  sh7:0.02178941754526364  sh8:0.025777861612994772  sh9:0.025648354425451245  sh10:0.05433441122001401  sh11:0.0931859249697706  sh12:0.4094807201094325  sh13:0.011659113076576307  sh14:0.01924639495260423  sh15:0.009267667817440097  sh16:0.0256569135271736  sh17:0.024805991745250482  sh18:0.806808304667652  sh19:0.7200655652233875  sh20:0.05148111136431174  sh21:0.7182671098350814  sh22:0.9431616512518252  sh23:0.9278742034174083  sh24:0.7942745510789894  sh25:0.8904698356929157  sh26:0.054078888757802326  sh27:0.05389830688417772  sh28:0.06455013112972313  sh29:0.85779283446038  sh30:0.7989340667662113  sh31:0.9099053873294178  sh32:0.8470523917693878  sh33:0.5549868005969284  sh34:0.7720676009689829  sh35:0.7153516607557499  sh36:0.5936721025870719  sh37:0.9261079706018167  sh38:0.84112457356276  sh39:0.6311557972883357  sh40:0.28553567883986175  sh41:0.3227984040798393  sh42:0.2166934323328478  sh43:0.9383713845445062  sh44:0.6728720868179722  sh45:0.9153798375880483  sh46:0.9211672209869566  sh47:0.5326874243368672  sh48:0.8240834080700509  sh49:0.8513258654722522  sh50:0.8841285480606015  sh51:0.881990783498606  sh52:0.9071371444206826  sh53:0.9328809087828157  sh54:0.8738393388239973  sh55:0.9400740664712882  sh56:0.852203587346136  sh57:0.7539284198996619  sh58:0.8988812686124766  
1.0 sh0:0.8298123498972562  sh1:0.5098756609734191  sh2:0.6225359587250135  sh3:0.8591172140367987  sh4:0.9337552030603087  sh5:0.8120356633974268  sh6:0.8805104527010856  sh7:0.7025024210396846  sh8:0.48249384845771415  sh9:0.5014920612703747  sh10:0.5739887036436758  sh11:0.5526587657573879  sh12:0.692490389768369  sh13:0.08441906044408873  sh14:0.15741920028906278  sh15:0.07147198009844809  sh16:0.17000993335534445  sh17:0.16753868638304473  sh18:0.977503754101513  sh19:0.9820295768874913  sh20:0.014232716069169161  sh21:0.9840177645473965  sh22:0.7681224295473118  sh23:0.7683687104621918  sh24:0.9818090681363622  sh25:0.8617969806007635  sh26:0.0049222461467951315  sh27:0.001288487515166745  sh28:0.00380179106088363  sh29:0.8758523890833377  sh30:0.8764627027163946  sh31:0.9161754538819012  sh32:0.9375010394821377  sh33:0.8286200441559517  sh34:0.8830837055080707  sh35:0.7815654989328135  sh36:0.7441441241634064  sh37:0.939517733606444  sh38:0.8634029564894112  sh39:0.9008926478372236  sh40:0.6111967736031392  sh41:0.6580240428290681  sh42:0.46450837522376837  sh43:0.9402439029777353  sh44:0.6448177803433162  sh45:0.649682465970113  sh46:0.8479605478000037  sh47:0.7643725708129119  sh48:0.7982599075339231  sh49:0.8838550180884331  sh50:0.8891413558501904  sh51:1.0  sh52:0.7543931073513588  sh53:0.86185257583916  sh54:0.7901576199720551  sh55:0.8764237132129321  sh56:0.862859617959776  sh57:0.8011707766327731  sh58:0.6444247525659075  
3.0 sh0:9.51462565443171E-4  sh1:0.0012164079598136366  sh2:0.0014335214084844248  sh3:0.0013643863995739796  sh4:0.0010278143155285854  sh5:0.0012282331214425535  sh6:9.155773874582739E-4  sh7:8.354276622677484E-4  sh8:0.0012503523710128746  sh9:0.001083718511522627  sh10:0.0017601995471244302  sh11:0.0029587286933253575  sh12:0.163267356869337  sh13:0.9896562541938904  sh14:0.9582161212032266  sh15:1.0  sh16:0.9592421473744677  sh17:0.9616036434568187  sh18:0.5996592599835527  sh19:0.48061032354049227  sh20:1.0  sh21:0.5307477109411188  sh22:0.869608553981164  sh23:0.856791128062718  sh24:0.6818156251200393  sh25:0.746939445785833  sh26:1.0  sh27:0.9233438413808003  sh28:1.0  sh29:0.9929975877808513  sh30:0.449894803546793  sh31:0.9752266057506576  sh32:0.9823621827181304  sh33:0.17369043508298962  sh34:0.8186132880778549  sh35:0.5033291350151421  sh36:0.07202299722554242  sh37:0.9770404861274194  sh38:0.7087247169224697  sh39:0.5780105968931087  sh40:0.23180681954182955  sh41:0.10174511367300734  sh42:0.16716668092825637  sh43:0.9897217790129514  sh44:0.8791903551330569  sh45:0.7300263272274657  sh46:0.7279749979503743  sh47:0.6251629955645016  sh48:0.7537950812304208  sh49:0.7709209934146313  sh50:0.7051756332314626  sh51:0.8792217726720984  sh52:0.793181004157434  sh53:0.9000145685601816  sh54:0.37315266270266007  sh55:0.5964373136217306  sh56:0.8179131542428738  sh57:0.6898346833471699  sh58:0.7695359939236084  
2.0 sh0:0.005812706576985237  sh1:0.006703298735150392  sh2:0.010173448880574977  sh3:0.004364956815645581  sh4:0.005879891364353307  sh5:0.005713818781669603  sh6:0.006387556790300946  sh7:0.0058563006698963355  sh8:0.005837202774794899  sh9:0.0065595414285449846  sh10:0.010743729463400837  sh11:0.0178142650953446  sh12:0.20425370295232254  sh13:0.9466828159295771  sh14:0.8031822066063071  sh15:0.8266597973999066  sh16:0.805656513455571  sh17:0.8241502977232875  sh18:0.07267513927089145  sh19:0.05322864976354834  sh20:0.8906490480987259  sh21:0.2277422380566421  sh22:0.0861277860987612  sh23:0.05763705795888027  sh24:0.18465603116375928  sh25:0.06437402979463853  sh26:0.9401655133101938  sh27:0.8458796112199337  sh28:0.7803592580815985  sh29:0.9926031663523602  sh30:0.014524852789776421  sh31:0.9418759258531804  sh32:0.9941686058788033  sh33:0.1482542765450062  sh34:0.8103304231354548  sh35:0.5422817420506593  sh36:0.04272503735106875  sh37:0.9890386467960051  sh38:0.03833446568198492  sh39:0.5198651256392772  sh40:0.10823438452253198  sh41:0.0854463632606829  sh42:0.0608204947771547  sh43:0.8937332806231304  sh44:0.7960763645149642  sh45:0.854184914717388  sh46:0.8569308050862462  sh47:0.67006309316646  sh48:0.7566554703124504  sh49:0.7627054466185436  sh50:0.8884096886867802  sh51:0.8599195478392379  sh52:0.7672356374936218  sh53:0.8085051901068423  sh54:0.7846673222144308  sh55:0.6118631713617567  sh56:0.7755697061862453  sh57:0.6733244918033655  sh58:0.6010617722802866  
0.0 sh0:0.0507157785040329  sh1:0.031160807636050166  sh2:0.06010622103602635  sh3:0.2516763114121936  sh4:0.07093965901377526  sh5:0.04679421371077304  sh6:0.06391078621720092  sh7:0.030790415833433622  sh8:0.024901903657352866  sh9:0.028798350989015734  sh10:0.08096241218713493  sh11:0.12884132562975378  sh12:0.4486076188137934  sh13:0.017866513186772803  sh14:0.030747921594335766  sh15:0.01458428014259382  sh16:0.03782457479286625  sh17:0.03424798058705514  sh18:0.8416480112841298  sh19:0.741484247839618  sh20:0.06605307041985671  sh21:0.7447776816797385  sh22:0.9379449789690967  sh23:0.9446964249080279  sh24:0.8167432407323825  sh25:0.8767216489722666  sh26:0.06699289195713849  sh27:0.06791763559095242  sh28:0.07987387790635012  sh29:0.8755054215499403  sh30:0.9557388577566385  sh31:0.9129777275820431  sh32:0.9135778352381227  sh33:0.5075250044058714  sh34:0.8878857528332689  sh35:0.6986788223008306  sh36:0.9158186379441686  sh37:0.9476305422450702  sh38:0.9461685880747098  sh39:0.6002041259695866  sh40:0.5419567774734771  sh41:0.6839279414517544  sh42:0.5628328848450123  sh43:0.9284996040737643  sh44:0.7082967665071624  sh45:0.8198217723962246  sh46:0.8219652714571766  sh47:0.6607345372183766  sh48:0.8356341960033582  sh49:0.8961848931681304  sh50:0.8406896622698777  sh51:0.8489890663909034  sh52:0.7636035679400448  sh53:0.9317305304005562  sh54:0.8887541882468951  sh55:0.6094186082600723  sh56:0.7006707326526536  sh57:0.9900393175760237  sh58:0.7559385708509684  
3.0 sh0:0.0011250698761325877  sh1:9.271681582636926E-4  sh2:0.0016465749595788897  sh3:9.663402036746175E-4  sh4:8.309447265178975E-4  sh5:9.690978337185683E-4  sh6:0.001048376205575492  sh7:7.790610298535459E-4  sh8:8.26065002153395E-4  sh9:7.288597448251959E-4  sh10:0.0014012214249782544  sh11:0.0023742346168190826  sh12:0.16779167929259606  sh13:0.6761405489387772  sh14:0.7331541731095664  sh15:0.5340024619500346  sh16:0.7181771267219106  sh17:0.772998538260784  sh18:0.5838673492457633  sh19:0.46925219176482263  sh20:0.49703327693005456  sh21:0.5546175528031886  sh22:0.8464681268501935  sh23:0.8419559384470713  sh24:0.6603551962712529  sh25:0.7255689579988834  sh26:0.5087644310742313  sh27:0.6308778480701632  sh28:0.4562996163894007  sh29:0.9543742037413077  sh30:0.01718532286078509  sh31:0.9407067339855957  sh32:0.9873181501261532  sh33:0.15638280033618426  sh34:0.7784716060721175  sh35:0.5568653022874955  sh36:0.048292176732733026  sh37:0.9834720403404319  sh38:0.02927191659852911  sh39:0.5353416868402359  sh40:0.18549151202919323  sh41:0.12142502747541316  sh42:0.12158170835062712  sh43:0.9540251193826255  sh44:0.7326187303087065  sh45:0.8514177339639847  sh46:0.7978517871912577  sh47:0.6391306071207977  sh48:0.8685459516884851  sh49:0.7084998870530921  sh50:0.7711214666143639  sh51:0.8670889213637961  sh52:0.5700882172575713  sh53:0.7439449342046269  sh54:0.6701854611012737  sh55:0.8807702351653273  sh56:0.6825664458749406  sh57:0.8033805630180549  sh58:0.9097069580806637  
3.0 sh0:0.001381299235856739  sh1:9.566037550015643E-4  sh2:0.0022188196662104084  sh3:6.870495490122485E-4  sh4:8.173006521126855E-4  sh5:0.0011088045389239794  sh6:0.0014294775054008225  sh7:9.622673486139769E-4  sh8:8.971081824632179E-4  sh9:9.637594576475849E-4  sh10:0.0012829611257412095  sh11:0.0026960629243797754  sh12:0.14340919477671407  sh13:0.7376231474700612  sh14:0.728699066838084  sh15:0.5797456764817797  sh16:0.7167038817294108  sh17:0.767718416124324  sh18:0.584046652281369  sh19:0.47232920893752844  sh20:0.575962653555673  sh21:0.5509213967956368  sh22:0.8229196113871267  sh23:0.8331733062037027  sh24:0.6578010187941743  sh25:0.7301905630139696  sh26:0.5916676143672575  sh27:0.7224834705710131  sh28:0.5007238445252815  sh29:0.91695215846853  sh30:0.020359833509735057  sh31:0.9378774331594164  sh32:0.9887621997015983  sh33:0.13030138665266314  sh34:0.7553531528707869  sh35:0.5708408045008393  sh36:0.07125570692507492  sh37:0.9830488910352266  sh38:0.025549710622453394  sh39:0.5445716301375393  sh40:0.3273987832189663  sh41:0.20277071054491777  sh42:0.09889578491449971  sh43:0.815298624238805  sh44:0.9506871691093071  sh45:0.7750937118496376  sh46:0.8396103852612372  sh47:0.7817253278977341  sh48:0.7607424267894445  sh49:0.8208162662565339  sh50:0.7855664717937829  sh51:0.9069556007420321  sh52:0.9140864706034345  sh53:0.7317579996607045  sh54:0.77035049110954  sh55:0.8051208200139089  sh56:0.7555960149755572  sh57:0.8430434664149791  sh58:0.6929085934601067  
0.0 sh0:0.040304816852982484  sh1:0.02940974455716655  sh2:0.04910754715007657  sh3:0.034086087461037536  sh4:0.057611363037973  sh5:0.03764945991297183  sh6:0.051455015724261935  sh7:0.02645875264819351  sh8:0.028034288366867423  sh9:0.028295155186198042  sh10:0.06858518956108912  sh11:0.11139433816942158  sh12:0.4350017352774082  sh13:9.724916672013327E-4  sh14:0.0  sh15:7.205982201208371E-4  sh16:0.00262566941343768  sh17:0.0015319026611570735  sh18:0.8264589943548769  sh19:0.7302468650527765  sh20:0.060371986559707165  sh21:0.7232403150271125  sh22:0.949750543696439  sh23:0.9338374830531937  sh24:0.8177635108939653  sh25:0.9231302904750706  sh26:0.07151180524264848  sh27:0.06479266035356297  sh28:0.08176047696548461  sh29:0.8457303138015305  sh30:0.8232392131778307  sh31:0.9098684552914067  sh32:0.0  sh33:0.9536596381693304  sh34:0.877753420898938  sh35:0.7014859535923956  sh36:0.9367062056494228  sh37:0.9362752926151757  sh38:0.8311137508318613  sh39:0.6104065647923675  sh40:0.3580339283216999  sh41:0.5496189644144831  sh42:0.48301649472175956  sh43:0.9333161579550839  sh44:0.7238563056727406  sh45:0.9329848759775059  sh46:0.9044389161560347  sh47:0.7668012280082726  sh48:0.8253462295533028  sh49:0.8802823731844375  sh50:0.7301681009467725  sh51:0.8967075845570917  sh52:0.7851287354487769  sh53:0.7920296471518935  sh54:0.8279728656403833  sh55:0.8632778751843962  sh56:0.8833166633014279  sh57:0.8499542667926976  sh58:0.8105524468431512  
0.0 sh0:0.9681300537055358  sh1:1.0  sh2:1.0  sh3:0.9699284696241801  sh4:0.970098662698363  sh5:0.9752027396345777  sh6:0.9695223411477797  sh7:1.0  sh8:1.0  sh9:1.0  sh10:1.0  sh11:0.9862415752402641  sh12:1.0  sh13:0.021362455186484504  sh14:0.044220910689561826  sh15:0.019461751955470324  sh16:0.03570262556470152  sh17:0.040278926943619994  sh18:0.727006674508175  sh19:0.9452131899518246  sh20:0.39524868766480287  sh21:0.7957351134198418  sh22:0.5022998526823068  sh23:0.5027489866212541  sh24:0.726063510738147  sh25:0.46879401274930715  sh26:0.25369128507596744  sh27:0.07408130976816621  sh28:0.09996905926618328  sh29:0.8557373285360342  sh30:0.7608172033991638  sh31:0.9050957573855165  sh32:0.9327749046357806  sh33:0.39818931790754136  sh34:0.7541523939762944  sh35:0.6248732999919033  sh36:0.8922777009660388  sh37:0.9788707652757501  sh38:0.476526318992242  sh39:0.5864199657190371  sh40:0.5390305813334805  sh41:0.6910066346698102  sh42:0.6689541211760462  sh43:0.877196792606052  sh44:0.6177920472011802  sh45:0.9586585332139008  sh46:0.8716319624149824  sh47:0.8280741907289069  sh48:0.8140098701219879  sh49:0.8456952473180366  sh50:0.9207196516238111  sh51:0.8887160140871404  sh52:0.7001905242500883  sh53:0.7577472431413057  sh54:0.8896735933311885  sh55:0.8041780707176275  sh56:0.7239228113220358  sh57:0.9071440867778332  sh58:0.6353366854823074  
3.0 sh0:0.0011226340256765854  sh1:7.032721811261784E-4  sh2:0.0018602719222989626  sh3:7.722314908262212E-4  sh4:7.656766704511131E-4  sh5:8.673047950430694E-4  sh6:0.001159524162894924  sh7:9.363146234128255E-4  sh8:7.323609318986763E-4  sh9:7.965783684662939E-4  sh10:0.0012061829642118222  sh11:0.0025117175539367993  sh12:0.1456537965452577  sh13:0.729188454148231  sh14:0.73069131168876  sh15:0.5751800737921374  sh16:0.7184547725755733  sh17:0.7696726810624249  sh18:0.5723793240288367  sh19:0.44922556519530915  sh20:0.5635079699244034  sh21:0.5229781484224248  sh22:0.8851915421164672  sh23:0.806181722644164  sh24:0.6698125864251142  sh25:0.6904007722534302  sh26:0.5773068225837166  sh27:0.7074825830208457  sh28:0.4955230351919301  sh29:0.8633569861468305  sh30:0.015039574355195937  sh31:0.9437577872051123  sh32:0.9890753305438369  sh33:0.1586788937438254  sh34:0.8153126080165858  sh35:0.5076261278380911  sh36:0.04060728279515042  sh37:0.993023521188141  sh38:0.023458012549194208  sh39:0.5294782920432459  sh40:0.12202209120610978  sh41:0.06244146124153241  sh42:0.08919048930363967  sh43:0.877624887828238  sh44:0.8106500272252711  sh45:0.8578287343533955  sh46:0.8241892871307706  sh47:0.7083180850780081  sh48:0.9395560246823397  sh49:0.8372114205441273  sh50:0.7562590701288183  sh51:0.8755970969152639  sh52:0.6182684672245834  sh53:0.7715902682976244  sh54:0.6703954615551568  sh55:0.9540282686601997  sh56:0.7213777130634459  sh57:0.8286449920567149  sh58:0.7308946668091281  
3.0 sh0:0.0011639516318918367  sh1:7.31475618851249E-4  sh2:0.0017953720907440717  sh3:7.692813998592062E-4  sh4:7.701737165260933E-4  sh5:8.202472871634182E-4  sh6:0.0012999777008208644  sh7:9.928655775139018E-4  sh8:7.325438566289233E-4  sh9:7.730364275257074E-4  sh10:0.0013150686424190019  sh11:0.0022201227991864286  sh12:0.0  sh13:0.9297687656933592  sh14:0.8475532135076129  sh15:0.8728028097952854  sh16:0.852381715068608  sh17:0.8640746959102288  sh18:0.5856221210278931  sh19:0.46620737363039694  sh20:0.9424652957406149  sh21:0.5486141833369732  sh22:0.8655296130526176  sh23:0.8375507732141418  sh24:0.6659396476370935  sh25:0.7197640640831513  sh26:0.9870361989862834  sh27:0.8434065753302585  sh28:0.8460792420507217  sh29:0.9998459408083273  sh30:0.0  sh31:0.9390876544920859  sh32:0.9917773628645209  sh33:0.12715871823536357  sh34:0.7546563701502197  sh35:0.5429551397520347  sh36:0.05028958247662049  sh37:0.9899391745374078  sh38:0.1230570383951621  sh39:0.5362498171947908  sh40:0.1351087543277478  sh41:0.06972049083673393  sh42:0.08376253802407378  sh43:0.9108053514920786  sh44:0.8526234319623937  sh45:0.7651056564930195  sh46:0.8540429516078254  sh47:0.6685125950309255  sh48:0.9094582799104011  sh49:0.7674476943635595  sh50:0.9139564681886815  sh51:0.7326028270914718  sh52:0.7165148862134373  sh53:0.7902888635622844  sh54:1.0  sh55:0.8615463789358875  sh56:0.8165255608578569  sh57:0.8396288086726761  sh58:0.0  
