1.0 sh0:1.0  sh1:1.0  sh2:0.5026930622302437  sh3:1.0  sh4:0.9033859293833745  sh5:0.5550428522447428  sh6:0.2962529660178256  sh7:0.9448134179884083  sh8:0.28635232154025203  sh9:0.8628564652749938  sh10:0.29001053739313426  sh11:0.5014383305532868  
0.0 sh0:0.1468733725141902  sh1:0.0695678558893396  sh2:0.742460053274052  sh3:0.1661866474279171  sh4:0.0  sh5:0.6650397096190617  sh6:0.2506247977288867  sh7:0.0  sh8:0.4678911834425029  sh9:0.2895419214334753  sh10:0.024296022062778554  sh11:0.4309200403095009  
1.0 sh0:0.5156005061218302  sh1:0.40725928931991623  sh2:0.3616321058048642  sh3:0.46608863502554104  sh4:0.44220535116256743  sh5:0.3113815901149935  sh6:0.8342695870536047  sh7:0.770353463192654  sh8:0.5582675776725295  sh9:0.8360974912823413  sh10:0.12911902931270358  sh11:0.5618821851916562  
0.0 sh0:0.15359673352303013  sh1:0.11701868773059691  sh2:1.0  sh3:0.04659287039890154  sh4:0.1627108785981371  sh5:1.0  sh6:0.28520721905659685  sh7:0.21113031687003408  sh8:0.529564000543605  sh9:0.4904304309461704  sh10:0.08491088139641778  sh11:0.5950733362003093  
0.0 sh0:0.22466289063789033  sh1:0.11361464177205782  sh2:0.7935474676988469  sh3:0.20766020253618833  sh4:0.04648405771508541  sh5:0.7292017036838581  sh6:0.2703329783644043  sh7:0.18287854989954477  sh8:0.5688048819285323  sh9:0.24720423333197952  sh10:1.0  sh11:0.11677085884832145  
0.0 sh0:0.2456011459350396  sh1:0.21409508946268282  sh2:0.9890019329537961  sh3:0.14516117540557916  sh4:0.2812150902867149  sh5:0.9331095421506177  sh6:0.1418953683931701  sh7:0.352299560748028  sh8:0.9768192362260142  sh9:0.7058837443129354  sh10:0.527068259516908  sh11:0.201383002481445  
1.0 sh0:0.7013132478395914  sh1:0.3921900459436008  sh2:0.1595140444867938  sh3:0.869014939106427  sh4:0.7421471800776672  sh5:0.1057302557133018  sh6:0.999848799207218  sh7:0.5128633231034178  sh8:0.2087070141702514  sh9:0.23474129463496313  sh10:0.07351417073474216  sh11:0.9144569643875947  
1.0 sh0:0.2937607347197232  sh1:0.3322046956365938  sh2:0.4101522237965833  sh3:0.42476549999991325  sh4:0.3246029093687266  sh5:0.40990237481844216  sh6:0.44752049269954475  sh7:1.0  sh8:0.9615154250887322  sh9:1.0  sh10:0.2618080497157659  sh11:0.49132738257447434  
0.0 sh0:0.15717133035629816  sh1:0.1552634856045649  sh2:0.512780911950973  sh3:0.3063784187646788  sh4:0.21326021324213423  sh5:0.4890252291178793  sh6:0.0  sh7:0.6068118002768613  sh8:0.26923591451357537  sh9:0.0  sh10:0.0  sh11:0.8058802715162379  
0.0 sh0:0.18319444219453923  sh1:0.11047092453864298  sh2:0.8332651105201182  sh3:0.3252963546267523  sh4:0.18170280766651037  sh5:0.8399451299980991  sh6:1.0  sh7:0.17859185656973653  sh8:0.3230476919075583  sh9:0.16852906973659695  sh10:0.9889547458363631  sh11:0.05206258140089469  
0.0 sh0:0.030211011085003  sh1:0.0  sh2:0.6979296859195938  sh3:0.09982912972681332  sh4:0.07437590578350134  sh5:0.6701456528348972  sh6:0.1196710036239615  sh7:0.19708421447174226  sh8:0.28733949396031044  sh9:0.13680049484372026  sh10:0.03121345855174124  sh11:0.3945343444189732  
